allianceid,cusip1,cusip2,effective,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
434,87875A,79587B,1990-05-24,1,0,1,0,1,0,0,0,1,0,1
434,910873,690484,1990-05-24,1,0,1,0,1,0,0,0,1,0,1
434,910873,79587B,1990-05-24,1,0,1,0,1,0,0,0,1,0,1
434,910873,87875A,1990-05-24,1,0,1,0,1,0,0,0,1,0,1
435,459200,05945A,1990-05-24,0,0,0,0,0,0,1,0,1,0,0
436,594921,03783R,1990-05-24,0,0,0,0,0,1,1,0,0,0,0
437,862111,428236,1990-05-28,0,0,0,1,0,0,1,1,0,0,0
438,87951Q,87943A,1990-05-28,0,0,0,0,0,0,1,0,0,0,0
439,48290R,36119D,1990-05-28,0,0,0,0,0,0,0,0,0,0,1
439,98600H,36119D,1990-05-28,0,0,0,0,0,0,0,0,0,0,1
439,98600H,48290R,1990-05-28,0,0,0,0,0,0,0,0,0,0,1
440,654624,294821,1990-05-29,0,0,0,0,0,0,0,0,0,0,1
441,294821,06000Z,1990-05-31,0,0,1,0,0,0,0,0,0,0,1
442,78658F,302052,1990-06-01,0,0,1,0,0,0,0,0,0,0,1
443,925843,718337,1990-06-03,0,0,1,0,1,0,0,0,0,0,1
444,05576L,007903,1990-06-04,0,0,0,0,1,0,1,0,0,0,0
445,500600,457920,1990-06-04,0,0,1,0,0,0,1,0,0,0,0
446,29879Y,127387,1990-06-05,0,0,0,0,0,1,0,0,0,0,1
447,984157,928470,1990-06-05,0,0,1,0,0,0,1,0,0,0,0
448,253849,21964H,1990-06-05,0,0,1,0,0,0,1,0,0,0,0
449,89148T,847623,1990-06-05,1,0,0,0,1,0,1,0,0,0,0
450,138006,123300,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,359590,123300,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,359590,138006,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,835699,123300,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,835699,138006,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,835699,359590,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,891493,123300,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,891493,138006,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,891493,359590,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,891493,835699,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,J75963,123300,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
450,J75963,138006,1990-06-06,0,0,0,0,1,0,0,0,0,0,1
